owner/repo-name,reason
codecrafters-io/build-your-own-x,no_releases_no_tags
freeCodeCamp/freeCodeCamp,no_releases_no_tags
sindresorhus/awesome,no_releases_no_tags
public-apis/public-apis,no_releases_no_tags
EbookFoundation/free-programming-books,no_releases_no_tags
jwasham/coding-interview-university,no_releases_no_tags
donnemartin/system-design-primer,no_releases_no_tags
996icu/996.ICU,no_releases_no_tags
vinta/awesome-python,no_releases_no_tags
practical-tutorials/project-based-learning,no_releases_no_tags
TheAlgorithms/Python,no_releases_no_tags
trimstray/the-book-of-secret-knowledge,no_releases_no_tags
trekhleb/javascript-algorithms,no_releases_no_tags
getify/You-Dont-Know-JS,no_releases_no_tags
ohmyzsh/ohmyzsh,no_releases_no_tags
CyC2018/CS-Notes,no_releases_no_tags
jackfrued/Python-100-Days,no_releases_no_tags
github/gitignore,no_releases_no_tags
avelino/awesome-go,no_releases_no_tags
jlevy/the-art-of-command-line,no_releases_no_tags
Snailclimb/JavaGuide,no_releases_no_tags
f/awesome-chatgpt-prompts,no_releases_no_tags
DigitalPlatDev/FreeDomain,no_releases_no_tags
ripienaar/free-for-dev,no_releases_no_tags
iptv-org/iptv,no_releases_no_tags
goldbergyoni/nodebestpractices,no_releases_no_tags
GrowingGit/GitHub-Chinese-Top-Charts,no_releases_no_tags
x1xhlol/system-prompts-and-models-of-ai-tools,no_releases_no_tags
microsoft/generative-ai-for-beginners,no_releases_no_tags
Hack-with-Github/Awesome-Hacking,no_releases_no_tags
papers-we-love/papers-we-love,no_releases_no_tags
mtdvio/every-programmer-should-know,no_releases_no_tags
microsoft/Web-Dev-For-Beginners,no_releases_no_tags
ryanmcdermott/clean-code-javascript,no_releases_no_tags
florinpop17/app-ideas,no_releases_no_tags
Shubhamsaboo/awesome-llm-apps,no_releases_no_tags
microsoft/ML-For-Beginners,no_releases_no_tags
gothinkster/realworld,no_releases_no_tags
rasbt/LLMs-from-scratch,no_releases_no_tags
MunGell/awesome-for-beginners,no_releases_no_tags
bregman-arie/devops-exercises,no_releases_no_tags
DopplerHQ/awesome-interview-questions,no_releases_no_tags
ByteByteGoHq/system-design-101,no_releases_no_tags
fighting41love/funNLP,no_releases_no_tags
punkpeye/awesome-mcp-servers,no_releases_no_tags
MisterBooo/LeetCodeAnimation,no_releases_no_tags
sdmg15/Best-websites-a-programmer-should-visit,no_releases_no_tags
vuejs/awesome-vue,no_releases_no_tags
CompVis/stable-diffusion,no_releases_no_tags
mlabonne/llm-course,no_releases_no_tags
enaqx/awesome-react,no_releases_no_tags
abi/screenshot-to-code,no_releases_no_tags
josephmisiti/awesome-machine-learning,no_releases_no_tags
Developer-Y/cs-video-courses,no_releases_no_tags
openai/openai-cookbook,no_releases_no_tags
twitter/the-algorithm,no_releases_no_tags
fffaraz/awesome-cpp,no_releases_no_tags
dair-ai/Prompt-Engineering-Guide,no_releases_no_tags
binhnguyennus/awesome-scalability,no_releases_no_tags
leonardomso/33-js-concepts,no_releases_no_tags
prakhar1989/awesome-courses,no_releases_no_tags
lydiahallie/javascript-questions,no_releases_no_tags
labmlai/annotated_deep_learning_paper_implementations,no_releases_no_tags
kdn251/interviews,no_releases_no_tags
TheAlgorithms/Java,no_releases_no_tags
sindresorhus/awesome-nodejs,no_releases_no_tags
chrislgarry/Apollo-11,no_releases_no_tags
bradtraversy/design-resources-for-developers,no_releases_no_tags
TapXWorld/ChinaTextbook,no_releases_no_tags
resume/resume.github.com,no_releases_no_tags
xingshaocheng/architect-awesome,no_releases_no_tags
h5bp/Front-end-Developer-Interview-Questions,no_releases_no_tags
youngyangyang04/leetcode-master,no_releases_no_tags
CorentinJ/Real-Time-Voice-Cloning,no_releases_no_tags
Solido/awesome-flutter,no_releases_no_tags
PlexPt/awesome-chatgpt-prompts-zh,no_releases_no_tags
LadybirdBrowser/ladybird,no_releases_no_tags
scutan90/DeepLearning-500-questions,no_releases_no_tags
golang-standards/project-layout,no_releases_no_tags
rust-unofficial/awesome-rust,no_releases_no_tags
Asabeneh/30-Days-Of-Python,no_releases_no_tags
tiimgreen/github-cheat-sheet,no_releases_no_tags
facebookresearch/segment-anything,no_releases_no_tags
ngosang/trackerslist,no_releases_no_tags
firstcontributions/first-contributions,no_releases_no_tags
sickcodes/Docker-OSX,no_releases_no_tags
karpathy/nanoGPT,no_releases_no_tags
pathwaycom/llm-app,no_releases_no_tags
vsouza/awesome-ios,no_releases_no_tags
xai-org/grok-1,no_releases_no_tags
poteto/hiring-without-whiteboards,no_releases_no_tags
justjavac/awesome-wechat-weapp,no_releases_no_tags
charlax/professional-programming,no_releases_no_tags
NARKOZ/hacker-scripts,no_releases_no_tags
Avik-Jain/100-Days-Of-ML-Code,no_releases_no_tags
cloudcommunity/Free-Certifications,no_releases_no_tags
algorithm-visualizer/algorithm-visualizer,no_releases_no_tags
odoo/odoo,no_releases_no_tags
microsoft/ai-agents-for-beginners,no_releases_no_tags
minimaxir/big-list-of-naughty-strings,no_releases_no_tags
type-challenges/type-challenges,no_releases_no_tags
karan/Projects,no_releases_no_tags
kamranahmedse/design-patterns-for-humans,no_releases_no_tags
typescript-cheatsheets/react,no_releases_no_tags
serhii-londar/open-source-mac-os-apps,no_releases_no_tags
akullpp/awesome-java,no_releases_no_tags
brillout/awesome-react-components,no_releases_no_tags
jakevdp/PythonDataScienceHandbook,no_releases_no_tags
ziishaned/learn-regex,no_releases_no_tags
1c7/chinese-independent-developer,no_releases_no_tags
expo/expo,no_releases_no_tags
Asabeneh/30-Days-Of-JavaScript,no_releases_no_tags
android/architecture-samples,no_releases_no_tags
DovAmir/awesome-design-patterns,no_releases_no_tags
GokuMohandas/Made-With-ML,no_releases_no_tags
LeCoupa/awesome-cheatsheets,no_releases_no_tags
OpenCut-app/OpenCut,no_releases_no_tags
microsoft/AI-For-Beginners,no_releases_no_tags
virattt/ai-hedge-fund,no_releases_no_tags
astaxie/build-web-application-with-golang,no_releases_no_tags
sudheerj/reactjs-interview-questions,no_releases_no_tags
aymericdamien/TensorFlow-Examples,no_releases_no_tags
yangshun/front-end-interview-handbook,no_releases_no_tags
GitHubDaily/GitHubDaily,no_releases_no_tags
docker/awesome-compose,no_releases_no_tags
SimplifyJobs/Summer2026-Internships,no_releases_no_tags
Light-City/CPlusPlusThings,no_releases_no_tags
alex/what-happens-when,no_releases_no_tags
k88hudson/git-flight-rules,no_releases_no_tags
lukasz-madon/awesome-remote-job,no_releases_no_tags
NanmiCoder/MediaCrawler,no_releases_no_tags
zai-org/ChatGLM-6B,no_releases_no_tags
bailicangdu/vue2-elm,no_releases_no_tags
dylanaraps/pure-bash-bible,no_releases_no_tags
byoungd/English-level-up-tips,no_releases_no_tags
DIYgod/RSSHub,no_releases_no_tags
chubin/cheat.sh,no_releases_no_tags
LC044/WeChatMsg,no_releases_no_tags
bradtraversy/50projects50days,no_releases_no_tags
QSCTech/zju-icicles,no_releases_no_tags
remoteintech/remote-jobs,no_releases_no_tags
karanpratapsingh/system-design,no_releases_no_tags
